respondent_id,age_group,gender,region,education_level,employment_status,income_band,weekly_behaviour_frequency,monthly_spend,previous_action_attempts,engagement_minutes_monthly,awareness_score,trust_score,confidence_score,change_intention_score,perceived_social_norm_score,service_satisfaction_score,motivation_health,motivation_financial,motivation_social,motivation_convenience,barrier_cost,barrier_time,barrier_habit,barrier_low_confidence,barrier_information,used_digital_tool,sought_support,recent_positive_action,would_recommend_service,preferred_information_channel,preferred_support_type,open_feedback,synthetic_true_segment,survey_weight_seed
R00001,45-59,Female,North,Undergraduate,Employed,Low,4,74.01,1,36,4,4,3,4,4,5,,5,5,5,1,1,2,2,2,No,Yes,Yes,Yes,Search engine,No support,Cost is the main issue for me.,Engaged and Confident,0.8572
R00002,45-59,,Central,Postgraduate,Employed,Upper-middle,4,90.03,3,70,3,3,3,4,3,3,5,4,3,5,3,1,3,2,3,Yes,No,No,Yes,Friends or family,Digital coaching,Digital tools are convenient.,Interested but Uncertain,0.842
R00003,30-44,Male,North,Secondary,Unemployed,Lower-middle,6,135.38,1,37,1,2,3,1,1,4,2,2,2,4,4,5,5,2,5,Yes,No,No,No,Community organisation,Self-guided tools,I prefer flexible support that fits my routine.,Habit-Driven and Resistant,0.9008
R00004,45-59,Male,West,Postgraduate,Retired,Low,6,123.31,2,36,2,3,2,2,1,4,3,4,3,2,4,4,3,4,4,No,No,No,No,Community organisation,No support,I am satisfied with the available options.,Habit-Driven and Resistant,0.978
R00005,30-44,Female,South,Secondary,Employed,Prefer not to say,5,132.41,0,37,3,3,2,4,4,5,4,3,3,3,2,2,3,5,2,No,Yes,No,No,Friends or family,Digital coaching,,Interested but Uncertain,0.9983
R00006,45-59,Female,West,Vocational,Employed,Lower-middle,5,114.13,4,55,5,5,2,,5,5,5,3,3,4,3,3,3,4,1,No,Yes,No,Yes,Friends or family,One-to-one support,Clearer information would help.,Interested but Uncertain,1.2074
R00007,18-29,Female,Central,Vocational,Employed,Low,6,122.79,3,38,2,3,2,2,3,1,3,1,3,2,4,4,4,4,3,Yes,No,Yes,No,Healthcare professional,Digital coaching,Clearer information would help.,Habit-Driven and Resistant,0.9017
R00008,60+,Male,West,Secondary,Student,Upper-middle,2,,3,63,5,4,4,5,5,2,5,5,4,4,2,2,3,1,2,Yes,Yes,Yes,No,Social media,Digital coaching,,Engaged and Confident,0.9391
R00009,18-29,Male,East,Secondary,Self-employed,Upper-middle,6,133.21,0,53,3,2,3,1,1,3,2,4,1,1,4,3,4,4,3,Yes,No,No,Yes,Search engine,One-to-one support,Cost is the main issue for me.,Habit-Driven and Resistant,1.0895
R00010,30-44,Female,East,Vocational,Employed,Upper-middle,3,84.48,4,60,4,3,5,4,4,2,5,5,5,5,1,1,2,1,2,Yes,Yes,Yes,No,Friends or family,Group support,Personal advice would be useful.,Ready for Change,0.9002
R00011,45-59,Male,Central,Vocational,Employed,Low,3,117.05,1,60,5,4,5,3,4,3,5,4,3,4,3,3,2,,1,Yes,Yes,No,Yes,Friends or family,One-to-one support,Clearer information would help.,Engaged and Confident,0.7683
R00012,18-29,Female,South,Vocational,Retired,Lower-middle,5,73.81,2,33,4,4,4,5,4,3,5,5,4,4,1,1,2,2,1,Yes,Yes,No,Yes,Social media,Digital coaching,Clearer information would help.,Ready for Change,1.0385
R00013,30-44,Female,East,Secondary,Retired,Low,6,,1,30,2,2,1,3,2,3,3,1,1,3,3,4,5,4,3,Yes,Yes,No,,Healthcare professional,No support,I am satisfied with the available options.,Habit-Driven and Resistant,1.0177
R00014,45-59,Male,East,Secondary,Employed,Low,3,88.83,2,66,5,5,4,3,4,3,4,3,3,4,2,1,2,2,2,Yes,No,Yes,No,Healthcare professional,One-to-one support,Clearer information would help.,Engaged and Confident,1.1545
